following_count,follower_count,answer_count,voteup_count,thanked_count
3,12,5,99,22
152,2,3,,1
184,219,11,167,23
479,3,,,
402,295,47,478,200
189,97677,144,5912,1135
2117,393,7,483,47
48,11,7,6,3
20,3801,,,
200,11,16,19,6
181,51,69,76,23
1549,58,14,8,3
781,75,69,59,4
52,11,1,2,
1636,31,9,141,27
74,2,,,
692,22,25,34,6
13,1904,39,32376,3889
690,687,1157,3836,375
502,34,2,7,1
241,5,4,6,1
64,3,19,5,1
133,2,,,
30,,,,
217,3,2,,
4914,91,,,
463,3,12,1,
38,3,19,1,
10,,,,
118,3,5,8,2
4855,537,81,1504,216
29,2,5,3,
463,33,,,
478,14,,,
6,,,,
427,61,28,44,2
67,4,7,20,1
395,1334,17,1221,476
2,3,17,6,3
326,1065,14,531,160
440,7143,379,14211,1175
10,,7,3,1
122,2,,,
390,2,,,
221,1233,46,2215,368
17,31,21,694,144
4998,214,96,60,28
648,45,18,100,38
213,225,49,245,133
265,45,37,72,22
414,274,41,577,132
872,28830,85,58907,4270
26,6,1,,
1,5,2,,1
43,3,2,,
312,6,5,29,2
4568,2861,4,84,17
157,6,30,5,2
1,,,,
26,17068,8,91092,14036
4934,256,49,326,36
60,49,27,34,19
3,1,1,105,6
255,3,2,2,
404,37,27,77,21
18,,,,
23,,2,3,
23,4,12,2,3
2,,4,,
24,2,1,,
2,1,,,
13,2358,6,7702,306
121,3,10,,
24,9010,1,7732,1490
9,,,,
3,2,,,
6,,,,
788,4018,475,31844,4780
295,14,6,1,1
1351,33,14,4,
4,2,2,1,
2585,111,,,
92,2,,,
23,392,271,858,98
392,,,,
3,,,,
817,157,219,3386,352
249,11359,41,55290,11463
71,1142,1002,6467,1986
25,,1,,
138,220,50,3064,365
14,1,,,
399,29,12,42,9
7,406,1,235,24
442,77,89,552,78
14,2,4,2,2
,111,,67,
10,1,,,
1,34,,18,
66,,1,,
217,17,,,
19,1,,,
201,35582,137,50714,8474
33,3,,,
83,3,6,1,2
1,,,,
557,16,7,2,
823,1061,870,7973,1343
72,49,38,160,19
7,,6,,
223,23,6,1,2
149,10,9,6,1
13,8,1,1,
9,800,239,3012,642
23,9,1,,
831,12363,190,29702,3573
2277,37,,,
122,60,3,18,11
324,3,,,
114,17,18,101,13
110,,1,1,
1,1,,,
54,6,,,
69,34,85,35,20
20,4,1,,
16,,17,4,
18,,3,,
2,,,,
41,3,,,
32,,5,5,1
29,,,,
2,,,,
55,8,6,19,
1,,,,
24,,2,,
171,2,,,
7,,2,,
4,2,1,1,
1165,62810,930,209964,32509
189,4043,32,10075,542
43,30268,13,8030,444
17,369,102,1200,356
48,5,,,
18,10936,,20844,
20,39378,50,842,326
251,93279,69,10158,1991
53,3,6,3,1
75,23581,4,24793,2017
154,,3,1,
328,6,3,30,4
377,7,3,1,
7,5,,,
10,4,,,
18,,,,
13,,1,,
46,15089,83,27377,3766
1145,37,80,5,3
,1937,7,1388,483
216,10876,46,16702,2984
326,1,,,
,2895,42,20256,1768
18,3240,1,5368,368
1,221,6,648,69
1,208,26,450,38
100,87930,572,256205,46281
5,386,5,401,66
55,6322,94,24572,2131
2,267,3,836,89
71,3035,318,13813,1472
,70,1,1441,92
38,2324,19,1973,184
4,762,5,1817,109
,143,2,568,39
36,2503,8,9603,857
29,1292,8,10414,1095
,354,3,151,26
1,783,,,
34,1952,36,10678,1644
70,64472,250,107515,24319
18,12541,5383,280034,32916
18,492,838,11183,1333
15,506,17,113,21
,117308,5,32829,6493
224,18931,20,64604,9559
67,127211,80,280126,60251
60,2236,40,8250,994
,17,,,
1,2001,11,430,15
340,86529,94,90725,14291
90,73313,27,44767,12458
11,17,5,15,1
37,4,2,1,
8,4,,,
36,4,,,
25,1030,12,1677,542
220,1,2,,
263,29,138,919,157
115,20631,381,79899,12064
,15011,14,9570,1527
521,13,13,,3
9,1,3,,2
4,,,,
100,,1,,
39,17,25,112,31
76,1,6,13,1
30,,,,
3072,1225,1092,1737,394
6,,,,
,3,1,3,2
98,5,6,9,
276,2,,,
28,25,40,22,9
145,10,7,1,1
3,1,,,
669,120616,1606,640223,71279
171,259893,2950,527468,104720
21,323,43,10173,848
6,,,,
63,4,,,
4314,120,,,
1165,8,,,
239,4455,178,45472,6727
79,74,133,6553,401
,48629,92,199012,26079
11,133,54,57,16
96,265638,63,359672,100438
,54989,31,40941,2362
7,,,,
14,8,2,,1
28,,,,
5,3,,,
72,1,,,
3,,,,
35,1,,,
8,79,12,139,23
22,6,2,,
69,13,3,1,
30,,,,
46,6,,,
8,3,,,
366,3,,,
,1800,5,1792,793
47,13,2,11,
,6023,6,3817,1355
38,532,248,1026,288
13,194,5,259,77
1606,23,6,2,
327,9,15,17,3
7,696,116,8065,670
19,4,2,3,
4962,197,,,
115,,,,
263,119880,210,365130,55314
147,20074,170,45486,8351
116,9,2,,
47,1,,,
301,309,1,4270,319
4904,439,44,399,51
78,2,37,8,3
14,340,6,5388,408
2131,93,26,581,139
705,114819,334,135136,26657
11,,,,
1005,8,2,,
70,,2,9,2
18,,,,
52,3,10,6,2
3,,,,
1,,,,
26,,,,
63,1,1,,
138,147187,257,710743,91131
407,26911,304,177535,28357
2898,119,,,
25,16203,100,64154,9862
289,3,1,1,1
433,5,4,22,6
2,6,5,68,11
276,136,318,202,43
2996,594,53,892,97
158,1,,,
90,135,71,198,36
61,2,1,,
99,10,,,
2,,,,
34,427,24,2210,760
4978,24,,,
14,8238,41,7471,1096
446,6082,150,32131,4904
17,7134,30,8401,1019
15,1,5,1,
77,,,,
312,49,70,862,95
5000,841,179,1299,173
12,,3,,
2,,,,
4970,39,,,
61,1,,,
10048,834279,782,84224,22428
2490,831417,1461,236700,47185
1,,,,
368,5,,,
186,2,2,2,
227,3,5,1,
308,227,91,12505,1089
165,362,113,223,41
833,123,74,568,85
483,11,,,
302,47,41,102,20
375,1481,30,906,168
1,1,3,,
129,,1,,
29,70,48,165,27
305,221,15,386,70
17,3,2,2,
121,174,79,140,43
1,,,,
79,5,1,1,1
340,7,,,
22,34888,83,279299,29927
1,,,,
131,1,3,2,2
502,53878,217,208778,6577
2,1182,,,
22,,,,
14,7,3,3,1
3,,,,
16,6104,6,9551,1412
1,14342,7,6741,872
11,,2,11,2
23,1,,,
31,,,,
442,10,52,158,19
732,2,,,
18,,,,
1,,,,
261,1,,,
4960,42,,,
4968,46,,,
17,95,23,2708,334
52,19207,77,32203,4896
88,446,2,583,8
54,9,4,1,1
101,110,10,361,157
3514,5385,873,5165,1649
51,1,1,1,1
62,2084,42,8832,1526
1,,,,
27,,,,
1,,,,
50,428,12,2082,226
180,1450,8,4230,1332
152,109527,95,53600,16863
170,321,107,996,276
14,275,5,836,157
2,1,1,5,
24,33,6,16,4
4,9098,5,32802,11603
23,6539,5,16669,6768
16,,,,
4,,,,
520,6,3,1,
4,,,,
9,9,2,315,26
31,2,,,
40,,13,2,2
35,,,,
134,2,1,,
26,,1,,
1,5759,1,7805,1234
7,,,,
224,6,10,8,2
29,2,6,1,
101,,,,
3314,1751,506,4287,796
597,8,,,
3,,,,
16,47251,84,91110,16045
207,1118,16,12686,1641
71,1,6,3,1
4,6,,,
1,,,,
14,,,,
6,,,,
66,3,17,7,2
11,1,,,
209,2,,,
3355,259,408,1288,179
2032,54,12,5,1
5000,2022,499,8122,1185
6,1,5,2,
36,40448,44,61756,17000
217,3,12,2,1
5,,,,
30,6565,24,16895,5021
36,,,,
1,,,,
268,6,,,
70,11,7,1,6
49,41151,135,37055,6694
2294,18,,,
1229,15,,,
739,11,1,1,
46,19,97,36,19
33,2440,231,16908,2929
7,,,,
3220,49,24,16,3
13,1,7,2,
1,,,,
9,,,,
13,,,,
48,,,,
109,9,14,169,22
4934,82,,,
4912,66,,,
157,2,2,,
128,23,,,
138,1,,,
665,8,7,1,1
1,,,,
708,4,,,
3,2,,,
129,110,19,548,81
15,239,22,905,504
510,210,74,4170,538
,1940,17,8695,2009
558,2,,,
12,,,,
100,2550,425,16810,2918
907,781,10,727,233
57,74300,85,23134,2893
